Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
88,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,2,88.0,44.0,19.6,1.0,1,67.0,0,1,21.0,1,3.0,4.0,2.0,2.0,2.05,2.1,1.4,0.7,0.77
89,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,4,187.0,47.0,41.6,2.1,2,54.0,0,2,40.0,0,1.5,4.0,4.0,0.0,0.0,5.1,2.5,2.6,1.23
90,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,5,411.0,82.0,91.3,4.6,5,82.0,2,0,0.0,0,1.8,8.0,7.0,1.0,0.22,8.4,4.1,4.4,0.95
91,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,1.6,4.0,3.0,1.0,0.2,4.1,4.2,-0.1,-0.02
92,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,1,32.0,32.0,7.1,0.4,0,0.0,0,1,32.0,0,1.0,0.0,0.0,0.0,0.0,0.1,0.7,-0.6,-1.79
93,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,3,122.0,41.0,27.1,1.4,1,79.0,0,2,22.0,0,1.0,2.0,1.0,1.0,0.74,2.0,1.4,0.6,0.47
94,Patrick Drewes,GER,GK,Bochum,31,1993.0,5,450.0,90.0,100.0,5.0,5,90.0,5,0,0.0,0,0.2,5.0,11.0,-6.0,-1.2,4.5,12.8,-8.3,-1.65
95,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,5,319.0,64.0,70.9,3.5,4,64.0,1,1,64.0,0,0.6,4.0,12.0,-8.0,-2.26,4.2,10.3,-6.1,-1.71
96,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,5,367.0,73.0,81.6,4.1,5,73.0,0,0,0.0,0,1.6,7.0,8.0,-1.0,-0.25,5.6,5.8,-0.2,-0.06
97,Julien Duranville,BEL,FW,Dortmund,18,2006.0,1,25.0,25.0,5.6,0.3,0,0.0,0,1,25.0,4,3.0,2.0,0.0,2.0,7.2,1.2,0.1,1.1,4.03
