Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
71,Justin Diehl,GER,DF,Stuttgart,19,2004.0,0.3,17,16,1,0,0,0,5,0,1,1,0,0,11,0,0
72,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,0.1,8,7,1,0,0,0,0,0,0,0,0,0,8,0,0
73,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,1.0,34,34,0,0,0,0,4,0,0,0,0,0,19,0,1
74,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,2.1,76,75,0,0,0,0,2,0,0,0,0,0,55,1,4
75,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,4.6,158,155,3,0,2,0,10,3,0,0,0,0,104,0,11
76,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5.0,168,163,5,5,0,0,0,0,0,0,0,0,128,0,5
77,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1
78,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,1.4,72,64,8,5,0,1,2,1,2,0,2,0,62,0,1
79,Patrick Drewes,GER,GK,Bochum,31,1993.0,5.0,227,146,80,28,0,0,0,0,0,0,0,0,146,1,1
80,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,3.5,159,153,6,3,1,2,1,3,0,0,0,0,135,0,3
81,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,4.1,118,86,30,7,0,4,26,1,15,4,7,0,71,2,1
82,Julien Duranville,BEL,FW,Dortmund,18,2006.0,0.3,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0
83,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,1.0,66,55,11,2,0,0,2,8,0,0,0,0,48,0,2
84,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,4.4,122,118,4,0,2,1,12,0,0,0,0,0,85,0,5
85,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,4.7,192,187,3,3,0,0,1,0,0,0,0,0,153,2,7
86,Hugo Ekitike,FRA,FW,Eint Frankfurt,22,2002.0,3.2,86,79,7,1,1,0,5,0,0,0,0,0,65,0,2
87,Nico Elvedi,SUI,DF,Gladbach,28,1996.0,5.0,358,339,18,5,0,0,1,0,0,0,0,0,321,1,4
88,Arne Engels,BEL,"MF,FW",Augsburg,21,2003.0,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1
89,Patrick Erras,GER,DF,Holstein Kiel,29,1995.0,2.5,138,128,10,5,0,0,0,0,0,0,0,0,132,0,1
90,Samuel Essende,COD,FW,Augsburg,26,1998.0,3.6,61,50,11,1,0,0,1,0,0,0,0,0,43,0,2
91,Kilian Fischer,GER,DF,Wolfsburg,23,2000.0,5.0,191,133,58,3,0,1,8,55,0,0,0,0,129,0,2
92,Jonas Föhrenbach,GER,"DF,FW",Heidenheim,28,1996.0,5.0,222,166,55,2,0,1,13,53,0,0,0,0,155,1,13
93,Marco Friedl,AUT,DF,Werder Bremen,26,1998.0,2.7,135,130,5,5,0,0,1,0,0,0,0,0,126,0,0
94,Marvin Friedrich,GER,FW,Gladbach,28,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
