Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,2,4,1,25.0,1.66,0.41,0.25,1.0,16.1,0,1,1,2.5,1.7,0.42,-0.5,-0.7
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,0,5,3,60.0,1.79,1.08,0.0,0.0,16.2,0,0,0,0.6,0.6,0.12,-0.6,-0.6
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,1.0,0,6,2,33.3,5.87,1.96,0.0,0.0,19.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
50,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,4.0,3,8,4,50.0,2.02,1.01,0.38,0.75,12.5,0,0,0,1.4,1.4,0.18,1.6,1.6
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5.0,3,10,4,40.0,2.01,0.81,0.3,0.75,10.8,0,0,0,2.3,2.3,0.23,0.7,0.7
52,Marnon Busch,GER,DF,Heidenheim,29,1994.0,1.7,0,1,0,0.0,0.6,0.0,0.0,0.0,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0
53,Anthony Caci,FRA,DF,Mainz 05,27,1997.0,4.2,0,4,2,50.0,0.94,0.47,0.0,0.0,21.3,1,0,0,0.2,0.2,0.05,-0.2,-0.2
54,Emre Can,GER,"MF,DF",Dortmund,30,1994.0,3.2,2,2,0,0.0,0.62,0.0,0.0,0.0,35.1,0,2,2,1.7,0.1,0.07,0.3,-0.1
55,Julian Chabot,GER,DF,Stuttgart,26,1998.0,4.8,0,4,0,0.0,0.84,0.0,0.0,0.0,17.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
56,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005.0,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
57,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,3.1,0,10,1,10.0,3.19,0.32,0.0,0.0,14.5,1,0,0,1.8,1.8,0.18,-1.8,-1.8
58,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,2.5,0,2,0,0.0,0.79,0.0,0.0,0.0,19.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
59,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
61,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,2.3,0,5,2,40.0,2.21,0.88,0.0,0.0,13.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3
62,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
63,Yan Couto,BRA,DF,Dortmund,22,2002.0,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
64,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,0.9,1,2,1,50.0,2.28,1.14,0.5,1.0,6.5,0,0,0,0.2,0.2,0.09,0.8,0.8
65,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
66,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
67,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,2.0,1,4,2,50.0,2.05,1.02,0.25,0.5,11.3,0,0,0,0.6,0.6,0.15,0.4,0.4
68,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,3.3,0,5,1,20.0,1.52,0.3,0.0,0.0,21.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
69,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
70,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,3.6,4,9,6,66.7,2.52,1.68,0.44,0.67,11.9,0,0,0,1.4,1.4,0.15,2.6,2.6
71,Justin Diehl,GER,DF,Stuttgart,19,2004.0,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,9.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
72,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
73,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,1.0,0,3,0,0.0,3.07,0.0,0.0,0.0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
74,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,2.1,0,4,0,0.0,1.93,0.0,0.0,0.0,16.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4
75,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,4.6,2,14,7,50.0,3.07,1.53,0.14,0.29,15.9,0,0,0,2.3,2.3,0.22,-0.3,-0.3
76,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5.0,0,1,0,0.0,0.2,0.0,0.0,0.0,10.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
77,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
78,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
79,Patrick Drewes,GER,GK,Bochum,31,1993.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
80,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,3.5,0,2,2,100.0,0.56,0.56,0.0,0.0,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
81,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,4.1,1,13,2,15.4,3.19,0.49,0.0,0.0,17.0,2,1,1,2.3,1.6,0.12,-1.3,-1.6
