Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
57,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,3.1,4,2,2,0,2,2,4,50.0,2,5,0,5,3,7,7,0
58,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,2.5,2,0,0,2,0,0,0,0.0,0,5,3,2,5,7,10,0
59,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
60,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
61,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,2.3,7,3,3,1,3,3,3,100.0,0,3,0,3,1,8,5,0
62,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,1.4,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,1,0
63,Yan Couto,BRA,DF,Dortmund,22,2002.0,1.6,2,1,2,0,0,2,5,40.0,3,4,0,4,1,3,3,0
64,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,0.9,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0
65,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,0.6,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
66,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
67,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,2.0,1,1,0,0,1,0,5,0.0,5,3,0,3,0,1,3,0
68,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,3.3,5,1,2,1,2,4,4,100.0,0,3,0,3,2,7,4,0
69,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,0.2,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,2,0
70,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,3.6,1,1,0,1,0,0,1,0.0,1,3,0,3,0,1,0,0
71,Justin Diehl,GER,DF,Stuttgart,19,2004.0,0.3,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0
72,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
73,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,3,0
74,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,2.1,2,1,0,1,1,0,4,0.0,4,4,1,3,1,3,0,0
75,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,4.6,10,9,6,3,1,6,9,66.7,3,9,0,9,3,13,3,0
