Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
47,Maximilian Breunig,GER,"FW,MF",Heidenheim,24,2000.0,2.4,88,5,14,48,29,8,87,2,0,0.0,1,50.0,52,189,83,2,2,1,8,4,63,7
48,Moritz Broschinski,GER,FW,Bochum,24,2000.0,2.8,84,4,12,33,41,11,84,5,1,20.0,4,80.0,47,238,93,5,1,2,14,5,59,21
49,Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,26,1998.0,1.0,55,1,7,11,38,8,55,5,3,60.0,2,40.0,39,407,239,7,4,3,2,4,37,18
50,Marius Bülter,GER,FW,Hoffenheim,31,1993.0,4.0,117,3,11,44,65,17,117,10,6,60.0,4,40.0,84,515,319,12,3,9,10,4,83,28
51,Jonathan Burkardt,GER,"FW,MF",Mainz 05,24,2000.0,5.0,140,6,14,57,69,20,140,7,5,71.4,2,28.6,70,318,111,5,4,0,15,9,94,22
52,Marnon Busch,GER,DF,Heidenheim,29,1994.0,1.7,118,8,51,53,14,0,118,1,0,0.0,1,100.0,67,287,164,4,2,0,2,0,74,4
53,Anthony Caci,FRA,DF,Mainz 05,27,1997.0,4.2,233,13,55,99,80,2,233,2,1,50.0,1,50.0,93,343,122,3,2,0,3,1,127,14
54,Emre Can,GER,"MF,DF",Dortmund,30,1994.0,3.2,239,10,49,139,53,5,237,3,2,66.7,1,33.3,119,655,346,6,4,1,3,2,182,6
55,Julian Chabot,GER,DF,Stuttgart,26,1998.0,4.8,412,45,245,154,15,5,412,0,0,0.0,0,0.0,244,979,464,1,1,0,0,0,282,1
56,El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,2005.0,1.1,71,17,39,32,1,0,71,0,0,0.0,0,0.0,26,85,28,0,0,0,0,0,36,0
57,Fares Chaïbi,ALG,"FW,MF",Eint Frankfurt,21,2002.0,3.1,164,7,25,61,80,14,164,6,4,66.7,2,33.3,79,480,235,10,3,3,6,1,95,22
58,Anrie Chase,JPN,DF,Stuttgart,20,2004.0,2.5,195,25,116,70,13,1,195,3,2,66.7,1,33.3,108,302,120,1,3,0,1,1,136,0
59,Fabio Chiarodia,ITA,DF,Gladbach,19,2005.0,0.0,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
60,Nnamdi Collins,GER,DF,Eint Frankfurt,20,2004.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
61,Kingsley Coman,FRA,"FW,MF",Bayern Munich,28,1996.0,2.3,149,4,23,49,80,17,149,18,10,55.6,8,44.4,96,686,289,14,5,5,3,3,107,29
62,Sirlord Conteh,GER,"FW,DF",Heidenheim,28,1996.0,1.4,51,2,9,15,30,5,51,1,0,0.0,0,0.0,35,205,129,6,0,1,3,3,33,12
63,Yan Couto,BRA,DF,Dortmund,22,2002.0,1.6,125,4,33,65,28,3,125,2,1,50.0,1,50.0,67,428,253,6,4,0,2,1,82,12
64,Tomáš Čvančara,CZE,"FW,MF",Gladbach,24,2000.0,0.9,35,2,5,11,19,3,35,3,2,66.7,1,33.3,19,135,48,3,2,0,2,0,23,4
65,Mahmoud Dahoud,GER,MF,Eint Frankfurt,28,1996.0,0.6,33,0,4,21,8,0,33,0,0,0.0,0,0.0,19,76,35,0,1,0,0,0,23,0
66,Bence Dárdai,GER,FW,Wolfsburg,18,2006.0,0.1,5,0,0,4,1,0,5,0,0,0.0,0,0.0,3,52,0,0,0,0,0,1,1,0
67,Lukas Daschner,GER,"MF,FW",Bochum,25,1998.0,2.0,80,3,9,30,43,6,80,5,1,20.0,4,80.0,44,206,54,2,3,0,12,0,46,5
68,Alphonso Davies,CAN,DF,Bayern Munich,23,2000.0,3.3,264,7,50,136,80,6,264,16,7,43.8,6,37.5,164,859,416,13,8,3,9,4,194,24
69,Olivier Deman,BEL,DF,Werder Bremen,24,2000.0,0.2,9,1,2,5,2,0,9,0,0,0.0,0,0.0,3,6,5,0,0,0,0,0,2,0
70,Ermedin Demirović,BIH,FW,Stuttgart,26,1998.0,3.6,100,0,4,57,40,14,100,2,1,50.0,1,50.0,53,192,48,1,1,0,7,4,79,16
71,Justin Diehl,GER,DF,Stuttgart,19,2004.0,0.3,22,0,1,3,18,2,22,2,0,0.0,2,100.0,19,157,71,4,2,1,0,1,18,9
72,Eric Dier,ENG,DF,Bayern Munich,30,1994.0,0.1,10,2,6,4,0,0,10,0,0,0.0,0,0.0,3,12,3,0,0,0,0,0,5,0
73,Junior Dina Ebimbe,FRA,"FW,MF",Eint Frankfurt,23,2000.0,1.0,53,2,8,20,25,10,53,4,2,50.0,2,50.0,29,131,39,0,1,1,3,2,36,10
74,Eren Dinkçi,GER,MF,Freiburg,22,2001.0,2.1,103,1,9,49,47,6,103,6,3,50.0,3,50.0,54,396,213,4,2,0,5,4,74,20
75,Ritsu Doan,JPN,FW,Freiburg,26,1998.0,4.6,229,5,35,95,102,19,229,17,7,41.2,10,58.8,120,622,191,6,6,3,13,6,149,33
76,Danilho Doekhi,NED,DF,Union Berlin,26,1998.0,5.0,213,20,119,78,16,8,213,1,1,100.0,0,0.0,104,537,220,1,1,0,3,1,130,1
77,Niklas Dorsch,GER,MF,Augsburg,26,1998.0,0.4,29,1,3,18,8,0,29,1,0,0.0,1,100.0,15,57,32,1,1,0,0,0,21,0
78,Niklas Dorsch,GER,MF,Heidenheim,26,1998.0,1.4,81,2,18,50,14,0,81,5,5,100.0,0,0.0,51,220,75,1,0,0,2,2,50,0
79,Patrick Drewes,GER,GK,Bochum,31,1993.0,5.0,244,180,242,2,0,0,244,0,0,0.0,0,0.0,126,612,346,0,0,0,0,0,106,0
80,Tim Drexler,GER,DF,Hoffenheim,19,2005.0,3.5,199,18,81,111,11,0,199,0,0,0.0,0,0.0,114,441,204,2,2,0,3,2,121,2
81,Marvin Ducksch,GER,FW,Werder Bremen,30,1994.0,4.1,152,7,14,49,90,23,151,3,2,66.7,1,33.3,76,242,96,1,3,1,4,1,94,28
82,Julien Duranville,BEL,FW,Dortmund,18,2006.0,0.3,11,0,0,4,7,4,11,4,3,75.0,0,0.0,7,95,81,4,2,2,1,0,7,3
83,Adam Dźwigała,POL,"DF,MF",St. Pauli,29,1995.0,1.0,76,2,26,39,11,3,76,0,0,0.0,0,0.0,26,70,39,0,0,0,0,0,45,2
84,Johannes Eggestein,GER,FW,St. Pauli,26,1998.0,4.4,157,2,9,87,64,17,157,3,2,66.7,1,33.3,91,350,132,6,3,4,14,7,130,34
85,Maximilian Eggestein,GER,MF,Freiburg,27,1996.0,4.7,226,4,44,148,38,7,226,4,2,50.0,2,50.0,114,578,227,3,4,0,1,2,141,3
