Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
33,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-060,1987,8,6,576,6.4,4,2,6,3,1,2,1,0,3.1,1.5,0.8,2.3,19,41,47,0.62,0.31,0.94,0.47,0.78,0.48,0.12,0.61,0.24,0.36,Matches
34,Yaser Asprilla,co COL,"MF,FW",Girona,20-316,2003,5,2,251,2.8,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,17,18,28,0.00,0.00,0.00,0.00,0.00,0.19,0.04,0.23,0.19,0.23,Matches
35,Ezequiel Ávila,ar ARG,FW,Betis,30-237,1994,6,2,198,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.8,4,7,22,0.00,0.00,0.00,0.00,0.00,0.06,0.28,0.35,0.06,0.35,Matches
36,César Azpilicueta,es ESP,DF,Atlético Madrid,35-033,1989,5,5,390,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,29,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
37,Loïc Bade,fr FRA,DF,Sevilla,24-172,2000,6,5,471,5.2,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
38,Alex Baena,es ESP,MF,Villarreal,23-072,2001,6,6,463,5.1,0,4,4,0,0,0,2,0,0.9,0.9,2.1,3.1,11,31,29,0.00,0.78,0.78,0.00,0.78,0.18,0.41,0.59,0.18,0.59,Matches
39,Eric Bailly,ci CIV,DF,Villarreal,30-171,1994,5,4,376,4.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
40,Cédric Bakambu,cd COD,FW,Betis,33-172,1991,3,1,109,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,5,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
41,Alejandro Balde,es ESP,DF,Barcelona,20-348,2003,7,5,466,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,19,19,47,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
42,Iván Balliu,al ALB,DF,Rayo Vallecano,32-273,1992,7,4,406,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,15,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
