Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
74,José Campaña,es ESP,MF,Las Palmas,31-122,1993,2.1,191,10,57,115,20,0,191,4,2,50.0,1,25.0,114,491,226,1,3,0,2,0,133,0,Matches
75,Peio Canales,es ESP,MF,Athletic Club,19-257,2005,0.2,17,1,4,5,8,0,17,1,0,0.0,1,100.0,10,32,4,0,0,0,0,0,11,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Sergi Canós,es ESP,"MF,FW",Valencia,27-241,1997,0.8,67,1,6,19,42,6,67,2,0,0.0,2,100.0,36,177,99,3,1,3,6,1,51,17,Matches
77,Cárdenas,es ESP,GK,Rayo Vallecano,27-186,1997,4.0,109,91,108,1,0,0,109,0,0,,0,,50,230,115,0,0,0,0,0,34,0,Matches
78,Irvin Cardona,fr FRA,"MF,FW",Espanyol,27-053,1997,2.5,87,3,16,32,39,7,87,3,0,0.0,3,100.0,37,306,140,5,4,3,9,0,54,15,Matches
79,Marc Cardona,es ESP,FW,Las Palmas,29-084,1995,0.2,9,0,1,5,3,1,9,1,0,0.0,1,100.0,5,11,1,0,0,0,0,0,6,2,Matches
80,Sergi Cardona,es ESP,DF,Villarreal,25-084,1999,6.9,394,31,164,138,92,12,394,6,2,33.3,4,66.7,160,688,354,8,3,0,5,2,208,32,Matches
81,Johnny Cardoso,us USA,MF,Betis,23-010,2001,1.7,111,7,31,68,14,3,111,2,2,100.0,0,0.0,58,239,115,1,1,0,7,4,62,6,Matches
82,Carmona,es ESP,DF,Sevilla,22-245,2002,7.8,554,24,191,306,66,2,554,10,4,40.0,4,40.0,271,1260,619,6,3,0,7,5,297,5,Matches
