Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
54,Emil Bohinen,NOR,MF,Genoa,25,1999,0.8,0,2,0,0.0,2.37,0.0,0.0,0.0,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1
55,Warren Bondo,FRA,MF,Monza,21,2003,5.1,0,2,0,0.0,0.39,0.0,0.0,0.0,25.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
56,Ange-Yoan Bonny,FRA,FW,Parma,20,2003,4.3,2,10,4,40.0,2.31,0.92,0.1,0.25,15.3,0,1,1,1.9,1.1,0.11,0.1,-0.1
57,Edoardo Bove,ITA,MF,Fiorentina,22,2002,3.2,0,4,1,25.0,1.26,0.31,0.0,0.0,13.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
58,Domagoj Bradarić,CRO,MF,Hellas Verona,24,1999,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
59,Matthias Braunöder,AUT,MF,Como,22,2002,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
60,Iker Bravo,ESP,MF,Udinese,19,2005,0.5,0,1,0,0.0,2.14,0.0,0.0,0.0,8.0,0,0,0,0.4,0.4,0.41,-0.4,-0.4
61,Gleison Bremer,BRA,DF,Juventus,27,1997,6.0,0,3,0,0.0,0.5,0.0,0.0,0.0,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
62,Brenner,BRA,"MF,FW",Udinese,24,2000,3.6,1,7,4,57.1,1.92,1.1,0.14,0.25,19.8,0,0,0,0.6,0.6,0.09,0.4,0.4
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,4.1,2,5,3,60.0,1.23,0.74,0.4,0.67,13.4,0,0,0,0.5,0.5,0.1,1.5,1.5
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5.0,1,3,1,33.3,0.6,0.2,0.33,1.0,9.7,0,0,0,0.6,0.6,0.21,0.4,0.4
65,Gianluca Busio,USA,MF,Venezia,22,2002,2.8,1,5,1,20.0,1.76,0.35,0.2,1.0,17.1,0,0,0,0.3,0.3,0.06,0.7,0.7
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,0.7,0,1,0,0.0,1.36,0.0,0.0,0.0,13.3,0,0,0,0.0,0.0,0.05,0.0,0.0
67,Davide Calabria,ITA,DF,Milan,27,1996,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
68,Luca Caldirola,ITA,DF,Monza,33,1991,2.1,0,1,0,0.0,0.47,0.0,0.0,0.0,10.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
69,Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,4.1,1,4,2,50.0,0.98,0.49,0.0,0.0,32.7,0,1,1,0.9,0.1,0.02,0.1,-0.1
70,Drissa Camara,CIV,FW,Parma,22,2002,0.3,0,2,0,0.0,6.21,0.0,0.0,0.0,19.2,0,0,0,0.0,0.0,0.02,0.0,0.0
