Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,TO_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,TO_gca,Sh_gca,Fld_gca,Def_gca
105,Woyo Coulibaly,FRA,DF,Parma,25,1999,5.0,5,1.0,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
106,Bryan Cristante,ITA,MF,Roma,29,1995,5.6,10,1.79,9,0,0,1,0,0,1,0.18,1,0,0,0,0,0
107,Domen Črnigoj,SVN,MF,Venezia,28,1995,0.4,2,4.86,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
108,Juan Cuadrado,COL,DF,Atalanta,36,1988,0.7,5,7.03,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
109,Patrick Cutrone,ITA,FW,Como,26,1998,5.2,13,2.48,7,0,1,4,0,1,0,0.0,0,0,0,0,0,0
110,Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
111,Danilo D'Ambrosio,ITA,DF,Monza,36,1988,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
112,Lucas Da Cunha,FRA,"MF,FW",Como,23,2001,2.2,10,4.5,8,1,0,1,0,0,1,0.45,1,0,0,0,0,0
113,Thijs Dallinga,NED,"FW,MF",Bologna,24,2000,1.3,2,1.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
114,Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,2.8,2,0.72,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
115,Danilo,BRA,DF,Juventus,33,1991,1.1,2,1.87,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
116,Matteo Darmian,ITA,DF,Inter,34,1989,4.4,8,1.8,5,1,0,0,1,1,2,0.45,2,0,0,0,0,0
117,Juan David Cabal,COL,DF,Juventus,23,2001,2.3,1,0.43,1,0,0,0,0,0,1,0.43,1,0,0,0,0,0
118,Keinan Davis,ENG,FW,Udinese,26,1998,1.8,8,4.31,7,0,0,1,0,0,1,0.54,0,0,0,1,0,0
119,Paweł Dawidowicz,POL,DF,Hellas Verona,29,1995,4.2,1,0.24,1,0,0,0,0,0,1,0.24,1,0,0,0,0,0
120,Charles De Ketelaere,BEL,"FW,MF",Atalanta,23,2001,4.5,20,4.49,16,0,1,2,1,0,4,0.9,4,0,0,0,0,0
121,Mattia De Sciglio,ITA,DF,Empoli,31,1992,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
122,Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,1.0,2,2.09,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
123,Koni De Winter,BEL,DF,Genoa,22,2002,6.0,3,0.5,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
124,Alessandro Deiola,ITA,MF,Cagliari,29,1995,4.2,9,2.12,7,1,0,0,1,0,0,0.0,0,0,0,0,0,0
125,Enrico Del Prato,ITA,DF,Parma,24,1999,3.2,7,2.22,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
126,Fisayo Dele-Bashiru,NGA,MF,Lazio,23,2001,1.8,6,3.4,3,0,2,1,0,0,0,0.0,0,0,0,0,0,0
127,Ali Dembélé,FRA,DF,Torino,20,2004,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
128,Michele Di Gregorio,ITA,GK,Juventus,27,1997,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
129,Giovanni Di Lorenzo,ITA,DF,Napoli,31,1993,6.0,19,3.17,18,1,0,0,0,0,1,0.17,1,0,0,0,0,0
130,Boulaye Dia,SEN,"FW,MF",Lazio,27,1996,3.7,10,2.69,7,0,2,1,0,0,1,0.27,1,0,0,0,0,0
131,Federico Dimarco,ITA,DF,Inter,26,1997,5.3,29,5.45,16,6,2,4,1,0,1,0.19,1,0,0,0,0,0
132,Berat Djimsiti,ALB,DF,Atalanta,31,1993,6.0,6,1.0,5,0,0,1,0,0,1,0.17,1,0,0,0,0,0
133,Dodô,BRA,DF,Fiorentina,25,1998,6.0,23,3.83,20,0,0,1,2,0,2,0.33,1,0,0,0,1,0
134,Patrick Dorgu,DEN,"FW,DF",Lecce,19,2004,4.5,15,3.34,8,0,1,1,4,1,1,0.22,0,0,0,0,1,0
135,Alberto Dossena,ITA,DF,Como,25,1998,4.7,3,0.64,1,0,1,1,0,0,1,0.21,0,0,0,1,0,0
136,Issa Doumbia,CIV,MF,Venezia,20,2003,1.0,2,2.12,1,0,0,0,0,1,1,1.06,1,0,0,0,0,0
137,Artem Dovbyk,UKR,FW,Roma,27,1997,5.8,10,1.73,7,0,1,2,0,0,1,0.17,1,0,0,0,0,0
138,Ondrej Duda,SVK,MF,Hellas Verona,29,1994,3.4,6,1.77,3,1,0,0,2,0,2,0.59,2,0,0,0,0,0
139,Denzel Dumfries,NED,DF,Inter,28,1996,1.6,3,1.91,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
