Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
82,Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,124,9,39,83,2,2,124,0,0,0.0,0,0.0,83,375,211,0,1,1,1,0,99,0
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,4.6,138,2,6,53,82,31,138,6,4,66.7,2,33.3,78,399,187,8,5,6,11,6,102,23
85,Santiago Castro,ARG,FW,Bologna,20,2004,5.0,146,6,17,60,74,22,146,16,7,43.8,9,56.3,81,357,104,2,2,2,8,12,96,29
86,Gaetano Castrovilli,ITA,MF,Lazio,27,1997,1.0,57,0,13,33,11,3,57,1,0,0.0,1,100.0,41,226,143,4,1,1,1,2,41,4
87,Danilo Cataldi,ITA,MF,Fiorentina,30,1994,3.3,173,12,43,106,26,3,173,2,1,50.0,1,50.0,100,644,259,6,8,1,2,1,116,2
88,Zeki Çelik,TUR,DF,Roma,27,1997,4.8,282,10,67,142,76,6,282,1,0,0.0,1,100.0,143,652,269,4,4,0,2,0,170,14
89,Alberto Cerri,ITA,FW,Como,28,1996,0.7,23,1,4,8,12,5,23,0,0,0.0,0,0.0,13,37,8,0,0,0,2,1,17,5
90,Gabriel Charpentier,CGO,FW,Parma,25,1999,0.2,11,4,8,2,1,0,11,0,0,0.0,0,0.0,1,0,0,0,0,0,1,0,3,1
91,Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,3,0,0,1,2,0,3,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,2,1
92,Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,54,45,53,1,0,0,54,0,0,0.0,0,0.0,30,156,107,0,0,0,0,0,31,0
93,Samuel Chukwueze,NGA,FW,Milan,25,1999,2.0,92,1,14,39,41,4,92,5,2,40.0,3,60.0,62,409,237,7,5,1,5,3,69,19
94,Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
95,Alessandro Circati,AUS,DF,Parma,20,2003,4.0,219,57,135,83,1,0,219,0,0,0.0,0,0.0,98,406,210,1,0,0,3,2,125,0
96,Alphadjo Cissè,ITA,MF,Hellas Verona,17,2006,0.0,8,0,1,6,1,0,8,0,0,0.0,0,0.0,4,12,0,0,0,0,0,0,7,0
97,Saúl Coco,EQG,DF,Torino,25,1999,5.0,319,41,142,169,9,2,319,3,2,66.7,1,33.3,176,858,368,0,2,0,3,0,203,0
98,Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,4.7,142,1,11,74,60,13,141,17,8,47.1,9,52.9,78,559,239,8,7,2,16,10,93,22
99,Andrea Colpani,ITA,"MF,FW",Fiorentina,25,1999,4.2,142,2,10,58,74,12,142,8,2,25.0,5,62.5,100,678,283,10,12,4,9,6,112,33
100,Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,4.5,331,28,167,150,14,3,331,0,0,0.0,0,0.0,211,878,359,3,3,0,3,1,232,2
101,Francisco Conceição,POR,FW,Juventus,21,2002,0.8,46,1,9,10,27,4,46,3,3,100.0,0,0.0,36,241,127,5,3,3,3,2,38,6
102,Diego Coppola,ITA,DF,Hellas Verona,20,2003,6.0,318,33,171,146,3,1,318,1,0,0.0,1,100.0,169,876,347,1,0,0,0,2,175,0
103,Joaquín Correa,ARG,"MF,FW",Inter,30,1994,0.2,15,0,0,9,7,1,15,0,0,0.0,0,0.0,8,67,61,2,2,0,1,0,12,1
104,Lassana Coulibaly,MLI,MF,Lecce,28,1996,2.8,124,5,28,84,13,1,124,1,1,100.0,0,0.0,66,377,149,2,2,0,3,2,82,3
105,Woyo Coulibaly,FRA,DF,Parma,25,1999,5.0,271,13,83,152,40,5,271,10,5,50.0,4,40.0,149,1018,594,17,7,5,11,3,161,10
106,Bryan Cristante,ITA,MF,Roma,29,1995,5.6,399,21,73,268,59,12,399,3,2,66.7,1,33.3,208,1259,674,6,7,1,5,2,284,3
107,Domen Črnigoj,SVN,MF,Venezia,28,1995,0.4,28,3,6,12,10,1,28,0,0,0.0,0,0.0,15,86,62,3,2,0,3,0,16,2
108,Juan Cuadrado,COL,DF,Atalanta,36,1988,0.7,66,1,7,19,40,6,66,5,2,40.0,2,40.0,40,215,136,7,9,2,1,1,48,13
109,Patrick Cutrone,ITA,FW,Como,26,1998,5.2,151,1,4,60,88,31,150,5,2,40.0,2,40.0,95,450,204,13,3,7,15,8,108,42
