Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_tackles,TklW_tackles,Def 3rd_tackles,Mid 3rd_tackles,Att 3rd_tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks_blocks,Sh_blocks,Pass_blocks,Int,Tkl+Int,Clr,Err
103,Joaquín Correa,ARG,"MF,FW",Inter,30,1994,0.2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
104,Lassana Coulibaly,MLI,MF,Lecce,28,1996,2.8,5,4,3,2,0,2,5,40.0,3,4,1,3,1,6,3,0
105,Woyo Coulibaly,FRA,DF,Parma,25,1999,5.0,7,4,4,1,2,3,5,60.0,2,12,1,11,3,10,9,0
106,Bryan Cristante,ITA,MF,Roma,29,1995,5.6,8,6,4,4,0,2,5,40.0,3,6,5,1,9,17,15,0
107,Domen Črnigoj,SVN,MF,Venezia,28,1995,0.4,3,1,0,0,3,1,1,100.0,0,2,1,1,1,4,3,0
108,Juan Cuadrado,COL,DF,Atalanta,36,1988,0.7,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,2,0
109,Patrick Cutrone,ITA,FW,Como,26,1998,5.2,6,5,0,3,3,2,3,66.7,1,1,0,1,1,7,2,0
110,Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
111,Danilo D'Ambrosio,ITA,DF,Monza,36,1988,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
112,Lucas Da Cunha,FRA,"MF,FW",Como,23,2001,2.2,5,2,3,1,1,2,3,66.7,1,5,0,5,0,5,1,0
113,Thijs Dallinga,NED,"FW,MF",Bologna,24,2000,1.3,3,2,0,1,2,1,1,100.0,0,1,1,0,0,3,4,0
114,Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,2.8,3,3,1,2,0,1,6,16.7,5,4,1,3,3,6,8,0
115,Danilo,BRA,DF,Juventus,33,1991,1.1,1,0,0,0,1,0,0,0.0,0,1,1,0,1,2,2,0
