Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,5.1,314,288,26,5,0,3,9,19,2,1,0,0,285,0,7
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,1.7,44,41,3,0,0,0,3,1,0,0,0,0,28,0,1
74,Antonio Candela,ITA,DF,Venezia,24,2000,4.9,141,129,12,2,0,0,9,10,0,0,0,0,108,0,1
75,Gianluca Caprari,ITA,MF,Monza,31,1993,2.2,75,69,6,0,0,1,12,0,6,2,4,0,63,0,2
76,Elia Caprile,ITA,GK,Napoli,23,2001,1.6,29,23,5,2,0,0,0,0,0,0,0,0,23,1,0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
78,Andrea Carboni,ITA,DF,Monza,23,2001,3.9,212,202,9,8,0,2,2,1,0,0,0,0,191,1,2
79,Franco Carboni,ITA,DF,Venezia,21,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5.0,142,102,40,9,0,0,0,0,0,0,0,0,103,0,0
81,Nicolò Casale,ITA,DF,Bologna,26,1998,1.8,103,101,2,1,0,1,0,0,0,0,0,0,89,0,3
82,Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,110,110,0,0,0,0,0,0,0,0,0,0,100,0,0
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,4.6,87,79,8,0,3,0,6,0,0,0,0,0,55,0,6
85,Santiago Castro,ARG,FW,Bologna,20,2004,5.0,90,78,12,0,1,3,1,1,0,0,0,0,72,0,1
86,Gaetano Castrovilli,ITA,MF,Lazio,27,1997,1.0,45,43,2,0,0,2,0,1,0,0,0,0,41,0,0
87,Danilo Cataldi,ITA,MF,Fiorentina,30,1994,3.3,145,140,5,4,0,1,4,0,1,0,1,0,127,0,1
88,Zeki Çelik,TUR,DF,Roma,27,1997,4.8,243,204,39,5,0,2,10,34,0,0,0,0,199,0,5
89,Alberto Cerri,ITA,FW,Como,28,1996,0.7,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
90,Gabriel Charpentier,CGO,FW,Parma,25,1999,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
91,Walid Cheddira,MAR,FW,Napoli,26,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
92,Leandro Chichizola,ARG,GK,Parma,34,1990,1.0,50,39,10,2,0,0,0,0,0,0,0,0,36,1,0
93,Samuel Chukwueze,NGA,FW,Milan,25,1999,2.0,71,67,4,0,0,2,9,0,4,3,1,0,51,0,2
94,Aaron Ciammaglichella,ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Alessandro Circati,AUS,DF,Parma,20,2003,4.0,170,148,22,12,0,0,0,0,0,0,0,0,149,0,0
96,Alphadjo Cissè,ITA,MF,Hellas Verona,17,2006,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
97,Saúl Coco,EQG,DF,Torino,25,1999,5.0,260,255,5,2,0,0,0,0,0,0,0,0,232,0,1
98,Lorenzo Colombo,ITA,"FW,MF",Empoli,22,2002,4.7,81,76,5,0,0,1,2,0,0,0,0,0,50,0,3
99,Andrea Colpani,ITA,"MF,FW",Fiorentina,25,1999,4.2,104,98,6,0,0,1,5,1,5,2,1,0,82,0,1
100,Pietro Comuzzo,ITA,DF,Fiorentina,19,2005,4.5,300,294,6,4,0,1,1,2,0,0,0,0,264,0,1
101,Francisco Conceição,POR,FW,Juventus,21,2002,0.8,36,36,0,0,0,0,3,0,0,0,0,0,30,0,2
102,Diego Coppola,ITA,DF,Hellas Verona,20,2003,6.0,253,247,5,5,0,1,0,0,0,0,0,0,210,1,1
103,Joaquín Correa,ARG,"MF,FW",Inter,30,1994,0.2,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
104,Lassana Coulibaly,MLI,MF,Lecce,28,1996,2.8,102,101,1,1,1,0,0,0,0,0,0,0,93,0,1
105,Woyo Coulibaly,FRA,DF,Parma,25,1999,5.0,218,182,36,7,1,1,1,28,1,0,0,0,190,0,1
106,Bryan Cristante,ITA,MF,Roma,29,1995,5.6,345,336,5,5,2,1,1,0,0,0,0,0,291,4,3
107,Domen Črnigoj,SVN,MF,Venezia,28,1995,0.4,16,16,0,0,0,0,2,0,0,0,0,0,7,0,3
108,Juan Cuadrado,COL,DF,Atalanta,36,1988,0.7,52,45,7,1,0,0,5,6,0,0,0,0,40,0,1
109,Patrick Cutrone,ITA,FW,Como,26,1998,5.2,102,90,11,0,0,0,12,0,0,0,0,0,68,1,4
110,Wylan Cyprien,FRA,MF,Parma,29,1995,0.3,21,20,0,0,1,0,0,0,0,0,0,0,14,1,1
111,Danilo D'Ambrosio,ITA,DF,Monza,36,1988,0.3,14,13,1,0,0,0,0,1,0,0,0,0,11,0,1
112,Lucas Da Cunha,FRA,"MF,FW",Como,23,2001,2.2,105,98,7,3,1,1,7,0,4,0,3,0,83,0,5
113,Thijs Dallinga,NED,"FW,MF",Bologna,24,2000,1.3,29,25,4,0,0,0,0,0,0,0,0,0,24,0,0
114,Flavius Daniliuc,AUT,DF,Hellas Verona,23,2001,2.8,105,96,9,2,0,0,2,7,0,0,0,0,84,0,1
115,Danilo,BRA,DF,Juventus,33,1991,1.1,100,95,5,0,0,0,1,5,0,0,0,0,93,0,1
116,Matteo Darmian,ITA,DF,Inter,34,1989,4.4,226,187,37,1,1,0,8,36,0,0,0,0,182,2,6
117,Juan David Cabal,COL,DF,Juventus,23,2001,2.3,158,144,13,0,0,1,4,13,0,0,0,0,135,1,6
118,Keinan Davis,ENG,FW,Udinese,26,1998,1.8,50,44,6,1,0,0,0,0,0,0,0,0,37,0,0
119,Paweł Dawidowicz,POL,DF,Hellas Verona,29,1995,4.2,212,199,13,9,0,3,1,4,0,0,0,0,183,0,1
120,Charles De Ketelaere,BEL,"FW,MF",Atalanta,23,2001,4.5,182,163,18,1,4,1,7,5,0,0,0,0,144,1,2
121,Mattia De Sciglio,ITA,DF,Empoli,31,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Lorenzo De Silvestri,ITA,DF,Bologna,36,1988,1.0,66,53,13,3,0,0,3,10,0,0,0,0,53,0,1
123,Koni De Winter,BEL,DF,Genoa,22,2002,6.0,291,276,13,8,0,0,1,4,0,0,0,0,249,2,1
124,Alessandro Deiola,ITA,MF,Cagliari,29,1995,4.2,120,116,3,0,1,1,4,3,0,0,0,0,79,1,8
125,Enrico Del Prato,ITA,DF,Parma,24,1999,3.2,158,141,17,3,0,0,3,11,0,0,0,0,123,0,2
126,Fisayo Dele-Bashiru,NGA,MF,Lazio,23,2001,1.8,67,67,0,0,0,0,2,0,0,0,0,0,63,0,0
127,Ali Dembélé,FRA,DF,Torino,20,2004,0.6,24,22,2,1,0,0,0,1,0,0,0,0,18,0,1
128,Michele Di Gregorio,ITA,GK,Juventus,27,1997,4.0,105,82,23,1,0,0,0,0,0,0,0,0,87,0,0
129,Giovanni Di Lorenzo,ITA,DF,Napoli,31,1993,6.0,332,297,34,12,0,2,9,22,0,0,0,0,282,1,9
130,Boulaye Dia,SEN,"FW,MF",Lazio,27,1996,3.7,74,74,0,0,1,1,0,0,0,0,0,0,61,0,0
131,Federico Dimarco,ITA,DF,Inter,26,1997,5.3,284,246,38,6,0,2,47,17,15,3,7,0,229,0,1
132,Berat Djimsiti,ALB,DF,Atalanta,31,1993,6.0,328,313,15,13,0,1,2,2,0,0,0,0,290,0,1
133,Dodô,BRA,DF,Fiorentina,25,1998,6.0,315,260,55,6,1,0,34,49,0,0,0,0,241,0,12
134,Patrick Dorgu,DEN,"FW,DF",Lecce,19,2004,4.5,149,135,14,3,2,0,6,10,1,0,0,0,114,0,7
135,Alberto Dossena,ITA,DF,Como,25,1998,4.7,220,202,15,14,0,2,1,1,0,0,0,0,189,3,2
136,Issa Doumbia,CIV,MF,Venezia,20,2003,1.0,37,35,1,1,0,0,1,0,0,0,0,0,29,1,0
137,Artem Dovbyk,UKR,FW,Roma,27,1997,5.8,91,83,7,0,1,0,0,1,0,0,0,0,67,1,3
138,Ondrej Duda,SVK,MF,Hellas Verona,29,1994,3.4,149,138,11,6,1,3,7,0,4,0,3,0,117,0,3
139,Denzel Dumfries,NED,DF,Inter,28,1996,1.6,63,49,14,0,0,0,5,14,0,0,0,0,47,0,2
140,Alfred Duncan,GHA,MF,Venezia,31,1993,3.7,148,136,10,7,3,2,6,0,2,0,1,0,114,2,3
141,Paulo Dybala,ARG,"FW,MF",Roma,30,1993,3.2,148,126,22,5,0,3,17,4,11,4,4,1,117,0,5
142,Éderson,BRA,MF,Atalanta,25,1999,5.8,314,298,16,13,0,10,6,3,0,0,0,0,269,0,3
143,Kingsley Ehizibue,NED,DF,Udinese,29,1995,6.0,178,134,43,1,0,0,13,42,0,0,0,0,133,1,4
