Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Gls_per_90,Ast,Ast_per_90,G+A,G+A_per_90,G-PK,G-PK_per_90,PK,PKatt,CrdY,CrdR,xG,xG_per_90,npxG,npxG_per_90,xAG,xAG_per_90,npxG+xAG,npxG+xAG_per_90,PrgC,PrgP,PrgR,G+A-PK,xG+xAG
68,Luca Caldirola,ITA,DF,Monza,33,1991,3,2,192,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.08,0.2,0.08,0.0,0.0,0.2,0.08,1,7,2,0.0,0.08
69,Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,5,5,367,4.1,1,0.25,0,0.0,1,0.25,0,0.0,1,1,1,0,0.9,0.21,0.1,0.02,0.7,0.17,0.8,0.19,5,30,14,0.0,0.38
70,Drissa Camara,CIV,FW,Parma,22,2002,2,0,29,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11,1,2,0,0.0,0.11
71,Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,1,0,15,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.37,0.1,0.37,0.0,0.0,0.1,0.37,1,2,4,0.0,0.37
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,6,5,461,5.1,1,0.2,0,0.0,1,0.2,1,0.2,0,0,1,0,0.2,0.03,0.2,0.03,0.6,0.13,0.8,0.16,15,18,18,0.2,0.16
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,5,1,156,1.7,1,0.58,0,0.0,1,0.58,1,0.58,0,0,0,1,0.8,0.47,0.8,0.47,0.0,0.01,0.8,0.48,7,4,13,0.58,0.48
74,Antonio Candela,ITA,DF,Venezia,24,2000,5,5,439,4.9,0,0.0,1,0.21,1,0.21,0,0.0,0,0,1,0,0.2,0.03,0.2,0.03,0.3,0.06,0.5,0.09,3,4,7,0.21,0.09
75,Gianluca Caprari,ITA,MF,Monza,31,1993,6,2,202,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.06,0.1,0.06,5,5,16,0.0,0.06
76,Elia Caprile,ITA,GK,Napoli,23,2001,2,1,145,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,1,0,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
78,Andrea Carboni,ITA,DF,Monza,23,2001,4,4,348,3.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,2,7,1,0.0,0.01
79,Franco Carboni,ITA,DF,Venezia,21,2003,1,0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5,5,450,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
81,Nicolò Casale,ITA,DF,Bologna,26,1998,3,2,161,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0
82,Nicolò Casale,ITA,DF,Lazio,26,1998,2,2,135,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0,6,0,0.0,0.03
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,2,0,14,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0.0,0.0
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,5,5,415,4.6,3,0.65,0,0.0,3,0.65,3,0.65,0,0,1,0,2.5,0.54,2.5,0.54,0.4,0.1,2.9,0.63,8,8,23,0.65,0.63
85,Santiago Castro,ARG,FW,Bologna,20,2004,6,5,448,5.0,3,0.6,1,0.2,4,0.8,3,0.6,0,0,1,0,1.6,0.32,1.6,0.32,0.4,0.09,2.0,0.41,2,5,29,0.8,0.41
86,Gaetano Castrovilli,ITA,MF,Lazio,27,1997,3,1,89,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.7,0.73,0.7,0.75,4,7,4,0.0,0.75
87,Danilo Cataldi,ITA,MF,Fiorentina,30,1994,4,4,293,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.05,0.2,0.05,0.1,0.02,0.2,0.07,6,8,2,0.0,0.07
88,Zeki Çelik,TUR,DF,Roma,27,1997,6,5,434,4.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.2,0.04,0.2,0.05,4,16,14,0.0,0.05
89,Alberto Cerri,ITA,FW,Como,28,1996,2,0,61,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7,1.01,0.7,1.01,0.0,0.0,0.7,1.01,0,0,5,0.0,1.01
90,Gabriel Charpentier,CGO,FW,Parma,25,1999,1,0,18,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
