Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
63,Marco Brescianini,ITA,MF,Atalanta,24,2000,4.1,0,0,0,8,4,1,4,0,1,0,0,0,13,4,3,57.1
64,Alessandro Buongiorno,ITA,DF,Napoli,25,1999,5.0,0,0,0,2,5,1,0,2,7,0,0,0,22,9,7,56.3
65,Gianluca Busio,USA,MF,Venezia,22,2002,2.8,0,0,0,2,2,0,2,0,2,1,0,0,15,0,3,0.0
66,Liberato Cacace,NZL,"DF,MF",Empoli,24,2000,0.7,1,0,0,3,0,0,5,0,1,0,0,0,5,1,2,33.3
67,Davide Calabria,ITA,DF,Milan,27,1996,1.6,0,0,0,3,2,0,7,3,2,0,0,0,7,1,0,100.0
68,Luca Caldirola,ITA,DF,Monza,33,1991,2.1,1,0,0,6,2,0,0,0,0,0,0,0,2,4,1,80.0
69,Hakan Çalhanoğlu,TUR,MF,Inter,30,1994,4.1,1,0,0,2,3,0,20,0,6,0,0,0,18,5,3,62.5
70,Drissa Camara,CIV,FW,Parma,22,2002,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0
71,Nicolò Cambiaghi,ITA,FW,Bologna,23,2000,0.2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0
72,Andrea Cambiaso,ITA,"DF,FW",Juventus,24,2000,5.1,1,0,0,7,3,1,9,2,5,0,0,0,22,1,1,50.0
73,Matteo Cancellieri,ITA,"FW,MF",Parma,22,2002,1.7,0,1,0,3,7,1,3,1,3,0,0,0,8,1,4,20.0
74,Antonio Candela,ITA,DF,Venezia,24,2000,4.9,1,0,0,4,1,0,9,2,5,0,0,0,17,4,5,44.4
75,Gianluca Caprari,ITA,MF,Monza,31,1993,2.2,0,0,0,1,6,1,12,1,1,0,0,0,3,0,0,0.0
76,Elia Caprile,ITA,GK,Napoli,23,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
77,Francesco Caputo,ITA,FW,Empoli,37,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
78,Andrea Carboni,ITA,DF,Monza,23,2001,3.9,1,0,0,5,5,0,2,4,5,0,0,0,7,6,4,60.0
79,Franco Carboni,ITA,DF,Venezia,21,2003,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
80,Marco Carnesecchi,ITA,GK,Atalanta,24,2000,5.0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100.0
81,Nicolò Casale,ITA,DF,Bologna,26,1998,1.8,0,0,0,3,1,0,0,1,1,0,0,1,7,4,9,30.8
82,Nicolò Casale,ITA,DF,Lazio,26,1998,1.5,0,0,0,2,0,0,0,1,3,0,0,0,1,6,0,100.0
83,Federico Cassa,ITA,"MF,FW",Atalanta,18,2006,0.2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0.0
84,Valentín Castellanos,ARG,FW,Lazio,25,1998,4.6,1,0,0,8,7,5,6,0,2,1,0,0,10,17,10,63.0
85,Santiago Castro,ARG,FW,Bologna,20,2004,5.0,1,0,0,8,9,3,1,1,2,0,0,0,12,9,14,39.1
86,Gaetano Castrovilli,ITA,MF,Lazio,27,1997,1.0,0,0,0,2,1,0,0,2,1,0,0,0,3,0,0,0.0
87,Danilo Cataldi,ITA,MF,Fiorentina,30,1994,3.3,0,0,0,4,4,0,4,2,6,0,0,0,16,0,2,0.0
88,Zeki Çelik,TUR,DF,Roma,27,1997,4.8,0,0,0,5,1,0,10,2,9,0,0,0,13,5,4,55.6
