player_id,player_name,nation,position,team_id,age,date_of_birth
,Iker Almena,ESP,"FW,DF",2,20,2004.0
,Marcos Alonso,ESP,DF,1,33,1990.0
,Adrià Altimira,ESP,"DF,FW",2,23,2001.0
,Sergi Altimira,ESP,MF,3,23,2001.0
,Hugo Álvarez,ESP,"MF,DF",2,21,2003.0
,Julián Álvarez,ARG,FW,2,24,2000.0
,Yeray Álvarez,ESP,DF,,29,1995.0
,Selim Amallah,MAR,MF,3,27,1996.0
,Amath,SEN,"FW,DF",2,28,1996.0
,Marcos André,BRA,FW,1,27,1996.0
,Antoniu,ESP,MF,2,22,2002.0
,Aritz Arambarri,ESP,DF,2,26,1998.0
,Mauro Arambarri,URU,"MF,FW",1,28,1995.0
,Jon Aramburu,VEN,DF,2,22,2002.0
,Adu Ares,ESP,FW,2,22,2001.0
,Jesús Areso,ESP,DF,2,25,1999.0
,José Arnaiz,ESP,FW,2,29,1995.0
,Takuma Asano,JPN,FW,3,29,1994.0
,Iago Aspas,ESP,"FW,MF",2,37,1987.0
,Yaser Asprilla,COL,"MF,FW",,20,2003.0
,Ezequiel Ávila,ARG,FW,2,30,1994.0
,César Azpilicueta,ESP,DF,2,35,1989.0
,Loïc Bade,FRA,DF,1,24,2000.0
,Alex Baena,ESP,MF,2,23,2001.0
,Eric Bailly,CIV,DF,2,30,1994.0
,Alejandro Balde,ESP,DF,2,20,2003.0
,Iván Balliu,ALB,DF,2,32,1992.0
,Jonathan Bamba,CIV,"FW,MF",2,28,1996.0
,Valentín Barco,ARG,DF,3,20,2004.0
,Enzo Barrenechea,ARG,MF,2,23,2001.0
,Ander Barrenetxea,ESP,"MF,FW",2,22,2001.0
,Pablo Barrios,ESP,MF,3,21,2003.0
,Thierno Barry,FRA,FW,3,21,2002.0
,Marc Bartra,ESP,DF,1,33,1991.0
,Aboubacar Bassinga,CIV,MF,2,19,2005.0
,Augusto Batalla,ARG,GK,2,28,1996.0
,Sheraldo Becker,SUR,"FW,MF",3,29,1995.0
,Donny van de Beek,NED,FW,2,27,1997.0
,Héctor Bellerín,ESP,DF,2,29,1995.0
,Jude Bellingham,ENG,MF,2,21,2003.0
,Fran Beltrán,ESP,MF,2,25,1999.0
,Carlos Benavídez,URU,MF,2,26,1998.0
,Iker Benito,ESP,"FW,MF",2,22,2002.0
,Yuri Berchiche,ESP,DF,,34,1990.0
,Álex Berenguer,ESP,"FW,MF",,29,1995.0
,Marc Bernal,ESP,MF,1,17,2007.0
,Juan Bernat,ESP,"MF,DF",2,31,1993.0
,Juan Berrocal,ESP,DF,2,25,1999.0
,Antonio Blanco,ESP,MF,2,24,2000.0
,Daley Blind,NED,DF,2,34,1990.0
,Adama Boiro,ESP,DF,2,22,2002.0
,Enzo Boyomo,CMR,DF,2,22,2001.0
,Darko Brašanac,SRB,MF,2,32,1992.0
,Ante Budimir,CRO,FW,2,33,1991.0
,Leandro Cabrera,URU,DF,1,33,1991.0
,Fernando Calero,ESP,DF,2,29,1995.0
,Sergio Camello,ESP,FW,3,23,2001.0
,José Campaña,ESP,MF,2,31,1993.0
,Sergi Canós,ESP,MF,3,27,1997.0
,Cárdenas,ESP,GK,2,27,1997.0
,Irvin Cardona,FRA,"MF,FW",2,27,1997.0
,Marc Cardona,ESP,FW,1,29,1995.0
,Sergi Cardona,ESP,DF,3,25,1999.0
,Johnny Cardoso,USA,MF,2,22,2001.0
,Carmona,ESP,DF,2,22,2002.0
,Sergio Carreira,ESP,MF,3,23,2000.0
,Dani Carvajal,ESP,DF,2,32,1992.0
,William Carvalho,POR,MF,3,32,1992.0
,Marc Casado,ESP,MF,1,21,2003.0
,Catena,ESP,DF,2,29,1994.0
,Dani Ceballos,ESP,MF,2,28,1996.0
,Pep Chavarría,ESP,"DF,MF",3,26,1998.0
,Walid Cheddira,MAR,FW,3,26,1998.0
,Julián Chicco,ARG,MF,2,26,1998.0
,Andreas Christensen,DEN,DF,2,28,1996.0
,Jasper Cillessen,NED,GK,2,35,1989.0
